"PlumsAverage retail price per pound or pint and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$1.99, per pound,0.94,0.364,pounds,$0.77
Dried (Prunes)2,$4.73, per pound,1,0.187,pounds,$0.89
"Juice, ready to drink3",$1.45, per pint,1,8,fl oz,$0.72
"1The USDA National Nutrient Database for Standard Reference (SR) reports that inedible pits account for 6 percent of the retail weight, implying a preparation yield of 94 percent, when plums are eaten raw.",,,,,,
,,,,,,
4Includes dried plums and dried plum pieces. ,,,,,,
,,,,,,
3Includes only unrefrigerated juice. ,,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA National Nutrient Database for Standard Reference (SR), Release 26; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
